words,links,capital_words,spam_word_count,is_spam
977,3,5,6,1
368,1,4,1,0
237,2,3,6,0
132,2,2,0,0
172,2,1,1,0
25,2,7,0,0
165,1,2,0,0
473,1,0,1,0
272,1,0,0,0
889,3,20,7,1
259,3,15,6,1
723,8,30,6,1
472,2,1,2,0
994,2,10,6,1
822,9,20,5,1
389,1,27,2,1
114,1,20,3,1
718,5,11,9,1
118,7,24,7,1
331,2,2,4,0
259,3,3,3,0
83,4,2,0,0
205,4,3,3,1
577,4,27,9,1
59,0,20,7,1
81,10,22,8,1
130,7,2,6,1
670,2,13,10,1
151,3,11,4,1
122,5,3,3,1
269,2,1,0,0
248,0,12,6,1
120,0,2,0,0
226,0,3,0,0
275,0,9,1,0
309,3,3,10,1
82,3,26,9,1
405,5,4,9,1
261,10,27,6,1
270,0,4,5,0
80,3,1,0,0
239,2,7,2,0
113,10,9,6,1
774,2,14,7,1
184,8,2,6,1
74,0,1,1,0
90,2,8,1,0
785,5,17,4,1
749,8,26,9,1
210,0,0,1,0
117,2,0,2,0
176,8,24,1,1
493,4,30,2,1
910,1,7,4,1
82,2,3,2,0
252,9,29,3,1
142,0,1,10,1
946,7,16,10,1
241,4,5,6,1
143,0,5,8,1
749,4,1,10,1
289,2,3,0,0
188,3,5,4,1
177,0,0,0,0
806,10,23,7,1
183,5,24,9,1
126,2,0,2,0
257,1,10,1,0
117,2,3,4,0
94,1,3,0,0
65,2,8,0,0
576,0,12,3,1
319,1,3,2,0
30,0,1,1,0
198,5,27,0,1
78,1,1,2,0
237,6,0,5,1
916,6,22,7,1
182,2,26,10,1
199,2,2,0,0
739,2,23,10,1
738,3,2,8,1
207,0,4,0,0
72,7,7,1,1
156,1,0,1,0
241,5,26,3,1
74,3,12,4,1
85,4,16,10,1
298,3,1,2,0
259,1,7,2,0
46,1,3,6,0
51,2,24,3,1
203,2,3,1,0
559,4,19,4,1
400,0,0,1,0
273,2,3,2,0
234,2,5,1,0
366,6,12,8,1
357,6,15,7,1
726,2,22,4,1
157,2,16,10,1
515,7,29,2,1
743,10,15,10,1
119,5,1,6,0
359,0,0,0,1
832,4,25,7,1
98,2,0,2,0
174,4,3,4,0
205,0,2,1,0
638,4,5,9,1
972,7,13,5,1
168,4,13,2,1
265,2,6,6,0
128,2,1,3,1
133,1,2,2,0
159,2,9,2,0
73,0,0,0,0
49,0,3,2,0
819,9,15,4,1
83,1,0,0,0
371,0,4,6,1
107,2,0,2,0
62,0,10,2,0
60,6,7,8,1
249,0,3,3,0
88,7,24,7,1
136,0,6,2,0
225,2,1,2,0
409,10,25,4,1
734,3,22,8,1
95,8,13,3,1
106,7,11,1,1
143,0,4,0,0
694,1,29,5,1
252,2,1,1,0
57,5,16,6,1
166,9,29,7,1
744,10,3,7,1
287,1,3,1,0
369,6,9,8,1
119,0,3,1,0
558,6,0,10,1
101,1,0,0,0
554,0,28,10,1
348,6,1,7,1
735,7,30,1,1
911,3,18,8,1
167,2,12,7,1
210,0,3,0,0
139,6,3,7,1
965,1,11,6,1
870,3,20,3,1
45,2,3,2,0
174,10,18,7,1
959,5,21,5,1
427,1,1,5,0
80,3,13,6,1
35,2,0,2,0
316,8,11,8,1
138,9,5,9,1
990,3,24,7,1
106,1,1,0,0
988,6,0,3,1
273,2,10,2,0
480,3,11,1,1
76,1,15,4,1
259,0,0,1,0
89,10,28,4,1
835,10,4,8,1
216,2,0,0,0
50,0,3,4,1
146,4,28,5,1
26,3,2,5,0
388,3,21,9,1
125,4,6,10,1
131,5,10,2,1
857,7,6,9,1
212,0,4,0,0
55,2,3,2,0
130,8,10,3,1
261,6,5,5,1
912,2,3,5,1
302,7,15,0,1
198,1,7,3,0
136,6,18,4,1
457,2,1,2,0
161,5,8,6,1
421,10,9,3,1
22,0,3,3,0
52,2,2,2,0
734,8,22,3,1
535,3,11,3,1
333,10,7,10,1
147,0,0,1,0
672,5,13,10,1
855,7,22,4,1
372,9,21,5,1
378,2,2,1,0
454,4,15,2,1
216,10,24,3,1
165,0,10,1,0
943,10,24,9,1
338,2,1,2,0
97,2,3,0,0
204,2,3,0,0
60,4,0,0,0
823,4,7,10,1
865,7,10,8,1
558,6,24,5,1
255,1,0,1,0
374,4,10,9,1
134,2,22,9,1
230,0,2,5,0
252,2,2,2,0
648,7,21,4,1
171,0,1,0,0
277,1,10,0,0
174,6,29,5,1
545,5,23,10,1
239,2,26,10,1
780,9,7,3,1
309,2,26,7,1
296,1,0,1,0
454,3,7,2,1
368,2,16,2,1
784,4,12,10,1
263,1,0,2,0
230,2,3,1,0
248,4,10,1,0
62,1,1,2,0
388,5,17,5,1
27,0,1,2,0
278,2,0,0,0
269,5,2,1,0
130,2,1,6,0
162,5,5,9,1
188,1,0,2,0
129,3,14,3,1
250,2,0,1,0
846,2,23,1,1
273,2,3,1,0
500,5,8,7,1
228,2,8,6,0
34,2,6,2,0
758,3,28,4,1
202,1,3,0,0
345,2,8,6,1
383,4,2,2,0
299,0,2,0,0
295,0,3,1,0
217,2,1,1,0
116,10,25,7,1
432,2,2,4,0
706,0,17,6,1
93,0,3,2,0
187,2,3,0,0
176,0,11,1,1
262,0,3,0,0
177,10,11,7,1
68,1,1,2,0
146,4,0,6,0
494,1,2,0,0
207,0,8,1,0
38,1,6,1,0
748,3,22,10,1
652,10,12,6,1
240,0,2,0,0
339,5,19,9,1
464,2,3,1,1
106,2,5,10,1
178,0,8,2,0
98,0,8,1,0
197,10,21,8,1
79,4,0,2,0
53,0,2,4,0
78,0,1,2,0
184,2,1,1,0
281,1,1,2,0
79,2,8,5,0
138,0,0,2,0
785,4,22,6,1
818,4,7,5,1
259,1,0,2,0
192,3,13,5,1
54,2,3,2,0
482,2,1,2,0
962,10,24,3,1
900,7,17,5,1
336,0,22,3,1
202,0,2,0,0
676,4,9,4,1
194,1,3,1,0
214,4,19,9,1
988,3,14,4,1
32,0,4,2,0
33,2,0,5,0
249,7,6,3,1
243,1,3,2,0
159,1,1,1,0
194,0,3,1,0
868,7,3,9,1
519,4,0,4,1
209,1,2,0,0
803,0,16,5,1
250,10,29,5,1
263,0,2,2,0
442,1,3,1,0
157,2,2,8,1
632,0,24,4,1
366,3,0,5,1
132,0,1,0,0
793,4,1,2,1
256,0,1,1,0
971,0,13,3,1
127,2,15,7,1
133,3,20,1,1
57,7,5,1,1
803,10,1,8,1
149,6,25,5,1
129,9,5,3,1
280,1,0,1,0
55,4,10,10,1
242,1,1,4,0
383,0,19,4,1
506,4,12,7,1
612,6,9,0,1
80,3,1,6,0
26,1,2,1,0
521,1,5,9,1
175,1,3,1,0
594,6,19,3,1
275,0,1,3,0
644,2,16,2,1
189,2,2,2,0
715,6,26,5,1
855,2,15,3,1
51,0,2,2,0
26,0,0,0,0
647,3,22,8,1
574,10,21,7,1
121,0,27,4,1
123,2,2,0,0
77,2,0,0,0
304,0,4,1,0
997,2,17,4,1
106,1,3,0,0
884,9,30,10,1
21,0,1,1,0
153,1,2,0,0
438,8,26,8,1
296,0,0,5,0
186,10,28,6,1
123,0,3,0,0
151,1,2,1,0
448,2,11,0,1
142,9,24,10,1
355,5,13,4,1
90,8,23,6,1
351,1,0,0,0
305,1,5,7,1
187,2,0,2,0
226,5,8,2,0
589,2,3,10,1
122,2,2,2,0
94,0,0,0,0
343,10,21,9,1
219,4,0,2,0
288,7,18,3,1
826,7,5,0,1
479,1,0,1,0
615,9,12,4,1
85,5,1,1,0
89,4,29,3,1
156,3,9,5,1
169,2,3,3,0
484,9,7,10,1
205,1,5,6,0
202,1,1,2,0
189,0,2,6,0
951,6,21,10,1
839,2,7,9,1
62,2,3,0,0
81,0,2,2,0
176,1,6,2,0
965,10,10,8,1
127,2,0,4,0
258,2,1,4,1
211,1,9,0,0
358,1,17,1,1
148,2,7,1,0
158,6,20,10,1
66,3,18,8,1
290,0,3,6,0
456,3,11,10,1
416,2,0,4,0
187,5,23,10,1
262,2,2,2,0
534,7,21,6,1
607,9,11,1,1
124,2,0,2,0
257,2,0,1,0
595,0,27,6,1
190,9,22,8,1
213,2,3,3,0
140,8,15,5,1
859,8,15,0,1
236,8,19,7,1
178,1,2,2,0
909,1,2,3,1
732,6,27,7,1
88,2,27,7,1
132,1,2,1,0
317,3,24,3,1
908,5,4,8,1
142,4,0,0,0
520,3,24,0,1
188,0,1,0,0
333,10,0,0,1
159,2,6,8,1
945,2,9,1,1
55,2,10,5,0
141,7,19,3,1
344,9,1,1,1
346,1,4,5,0
196,0,3,4,0
292,2,0,5,0
245,5,2,0,0
311,9,29,3,1
145,1,3,0,0
186,8,1,7,1
194,2,2,4,0
733,7,9,9,1
184,1,0,8,1
205,1,2,0,0
495,5,1,5,0
402,2,3,2,0
229,1,0,6,0
740,9,17,3,1
145,3,26,3,1
383,8,0,0,1
505,4,25,6,1
201,1,0,2,0
125,5,8,3,1
119,0,3,1,0
505,5,7,10,1
36,2,1,0,0
318,2,3,0,0
250,0,2,2,0
25,0,2,0,0
254,0,0,1,0
383,0,3,1,0
542,2,22,3,1
100,7,20,5,1
261,0,0,4,0
270,2,3,0,0
545,7,19,3,1
788,1,29,5,1
242,0,0,2,0
53,2,16,6,1
342,10,8,4,1
288,1,2,4,0
610,8,20,5,1
92,2,5,1,1
33,1,2,2,0
189,10,26,4,1
422,7,2,7,1
935,5,18,9,1
440,1,3,2,0
68,1,1,6,0
646,4,25,9,1
874,6,25,4,1
215,2,1,1,0
441,7,27,1,1
393,4,6,9,1
170,2,2,2,0
554,5,7,6,1
349,10,25,6,1
